time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss
311296,401,560026.949,774,473.97,76,-1.2771671034395695,-0.005322777666151524,0.9545679017901421,0.0015676615,0.05,4190,0.00025,0.2639404296875,-0.0060467354109277945,0.007353295622306177
315392,405,625170.4299999999,778,518.77,77,-1.234895071387291,0.0029746261425316334,0.8394611030817032,0.00093842624,0.05,4200,0.00025,0.1879150390625,-0.0035088030155748127,0.01108009135350585
319488,408,469261.90800000005,782,437.3,78,-1.2607136726379395,-0.0031537190079689026,0.8853925466537476,0.0013050314,0.05,4210,0.00025,0.234423828125,-0.005379396377247758,0.011078721284866333
323584,411,466464.74500000005,786,439.77,79,-1.301351622492075,-0.008537475019693375,0.7626543790102005,0.0014510083,0.05,4220,0.00025,0.29404296875,-0.007468309701653198,0.006453214123030193
327680,414,436432.222,790,417.06,80,-1.2832858569920063,-0.009067924693226814,0.9570142738521099,0.0015242801,0.05,4230,0.00025,0.2882080078125,-0.006769379474280868,0.004679578069772106
331776,417,291204.08,793,367.13,81,-1.291621023416519,-0.0015764514682814479,0.9305077865719795,0.0014155324,0.05,4240,0.00025,0.2955078125,-0.005594064056640491,0.0026266187014698517
335872,421,181425.81900000005,797,344.62,82,-1.30876527428627,-0.005067034624516964,0.8993088826537132,0.0014751165,0.05,4250,0.00025,0.292431640625,-0.006371797196334228,0.003567525197286159
339968,424,236870.08099999998,801,377.97,83,-1.29231026917696,-0.0016721556894481182,0.9241072237491608,0.001641444,0.05,4260,0.00025,0.2791748046875,-0.00734187600610312,0.003977692095213569
344064,427,280970.46,805,398.52,84,-1.2580851666629314,0.0015757158398628235,0.898376077413559,0.0008409616,0.05,4270,0.00025,0.163134765625,-0.0023934392957016826,0.01293311165063642
348160,430,211669.52300000002,809,340.31,85,-1.2459286339581013,0.005483728367835283,0.8917275592684746,0.0010952916,0.05,4280,0.00025,0.181298828125,-0.002649246888177004,0.015944713103817777
352256,433,212989.20400000003,812,339.9,86,-1.309125430136919,-0.0032203043811023235,0.6079141795635223,0.0013201808,0.05,4290,0.00025,0.2250732421875,-0.00547523663553875,0.00419675177836325
356352,436,299266.803,816,381.63,87,-1.2619645521044731,-0.006390832364559174,0.953465461730957,0.0014298025,0.05,4300,0.00025,0.269580078125,-0.005869041004916653,0.006269114052702207
360448,439,333357.47300000006,820,417.63,88,-1.259222834557295,3.537256270647049e-05,0.9255893751978874,0.0011433761,0.05,4310,0.00025,0.175537109375,-0.002730391082877759,0.012955850560683758
364544,442,341429.57800000004,824,434.27,89,-1.2694508634507655,-0.00382391270250082,0.9059962183237076,0.0016811963,0.05,4320,0.00025,0.3003662109375,-0.004832194381742738,0.005665363157459069
368640,445,392124.16299999994,827,464.23,90,-1.290114426612854,-0.0032747979275882244,0.5954328179359436,0.0011621866,0.05,4330,0.00025,0.2157958984375,-0.0026186031638644634,0.00625954755814746
372736,448,424898.25399999996,831,488.42,91,-1.3090408965945244,-0.008071377873420715,0.7408485412597656,0.001087292,0.05,4340,0.00025,0.2029052734375,-0.005528238380793482,0.006325725778879132
376832,451,418488.43500000006,835,485.2,92,-1.2731152690947056,-0.0024408306926488876,0.9509154036641121,0.0011638871,0.05,4350,0.00025,0.220361328125,-0.004770552735135425,0.009574144540238194
380928,453,343056.38399999996,839,411.46,93,-1.3187105990946293,-0.005352933891117573,0.8722401708364487,0.0013409795,0.05,4360,0.00025,0.3008056640625,-0.006960483870352618,0.003600425645709038
385024,456,289660.27499999997,843,373.37,94,-1.325142975896597,-0.009096216410398483,0.8359584659337997,0.001562338,0.05,4370,0.00025,0.2957763671875,-0.007033206761116162,0.001639399323539692
389120,459,205557.17599999995,846,334.86,95,-1.30356133505702,-0.00818921159952879,0.9003569185733795,0.0010772601,0.05,4380,0.00025,0.2300537109375,-0.006210999510949477,0.004603197090909816
393216,462,205557.17599999995,850,334.86,96,-1.309504409134388,-0.008587309159338474,0.9237192794680595,0.001376511,0.05,4390,0.00025,0.259814453125,-0.006103633946622722,0.0036095413386647126
397312,464,241980.754,854,309.09,97,-1.2461472660303117,0.015649188309907913,0.04114264249801636,0.0007103408,0.05,4400,0.00025,0.1234619140625,-0.0012112980475649238,0.032397566025611016
401408,467,196214.17999999996,858,270.53,98,-1.313089407235384,-0.00797909963876009,0.8470044285058975,0.0013371828,0.05,4410,0.00025,0.2684326171875,-0.006792929445509799,0.008430142814177088
405504,470,219790.402,862,281.16,99,-1.2789923690259457,-0.004533098079264164,0.9685062766075134,0.0011322132,0.05,4420,0.00025,0.2168701171875,-0.004877626220695675,0.007062915933784097
409600,472,335806.26800000004,866,324.63,100,-1.2495899297297002,0.006856737658381462,0.9128520414233208,0.00066366896,0.05,4430,0.00025,0.1310791015625,-0.00200351439852966,0.019790338212624194
413696,475,361685.083,869,361.83,101,-1.2769275210797786,-0.002261063549667597,0.9385078959167004,0.0014594805,0.05,4440,0.00025,0.23662109375,-0.005707566754426807,0.01185229571419768
417792,478,389591.877,873,384.66,102,-1.2928039759397507,-0.0059713153168559074,0.8341928124427795,0.0012230537,0.05,4450,0.00025,0.2611083984375,-0.00635128132707905,0.006847324020054657
